ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Reference #;Manufacturer;Quantity;Minimal quantity;Visibility;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes);Condition
94;1;CAMISETA GAP COMPUTERS GAZUL OSC M;CAMISETAS;$ 37.990 ;1;$ 37.990 ;1;6,00006E+12;GAP;1;1;;;;GAP;;;;Disponible;;;;Nuevo
95;1;CAMISETA SUPERDRY 8812 ROJO;CAMISETAS;$ 44.990 ;1;$ 44.990 ;1;6,00006E+12;SUPERDRY;1;1;;;;SUPERDRY;;;;Disponible;;;;Nuevo
96;1;CAMISETA CIRKUS EVERYONE WANTS TO LOOK GOOD BLANCO M;CAMISETAS;$ 47.990 ;1;$ 47.990 ;1;6,00007E+12;CIRKUS;1;1;;;;CIRKUS;;;;Disponible;;;;Nuevo
97;1;CAMISETA CIRKUS COOL BLANCO L;CAMISETAS;$ 47.990 ;1;$ 47.990 ;1;6,00007E+12;CIRKUS;1;1;;;;CIRKUS;;;;Disponible;;;;Nuevo
98;1;CAMISETA BUFEO AZUL CLARO M;CAMISETAS;$ 39.990 ;1;$ 39.990 ;1;6,00007E+12;BUFEO;1;1;;;;BUFEO;;;;Disponible;;;;Nuevo
99;1;CAMISETA TAPOUT CULEBRAS BLANCO S;CAMISETAS;$ 44.990 ;1;$ 44.990 ;1;6,00007E+12;TAPOUT;1;1;;;;TAPOUT;;;;Disponible;;;;Nuevo
100;1;CAMISETA GS 4016 ROJO M;CAMISETAS;$ 34.990 ;1;$ 34.990 ;1;6,00007E+12;GUESS;1;1;;;;GUESS;;;;Disponible;;;;Nuevo
101;1;CAMISETA NC ENGL BLANCA S;CAMISETAS;$ 59.990 ;1;$ 59.990 ;1;6,00007E+12;NAUTICA;1;1;;;;NAUTICA;;;;Disponible;;;;Nuevo
102;1;CAMISETA PS 901525 AMARILLA L;CAMISETAS;$ 59.990 ;1;$ 59.990 ;1;6,00008E+12;PORSCHE;1;1;;;;PORSCHE;;;;Disponible;;;;Nuevo
103;1;CAMISETA XZVI 0514 BLANCA L;CAMISETAS;$ 44.990 ;1;$ 44.990 ;1;6,00008E+12;XZAVIER;1;1;;;;XZAVIER;;;;Disponible;;;;Nuevo
104;1;CAMISETA EK RINO VINOTINTO L;CAMISETAS;$ 44.990 ;1;$ 44.990 ;1;6,00008E+12;ECKO;1;1;;;;ECKO;;;;Disponible;;;;Nuevo
105;1;CAMIBUSO DS REAL NEGRO S;BUSO;$ 39.990 ;1;$ 39.990 ;1;6,00008E+12;DIESEL;1;1;;;;DIESEL;;;;Disponible;;;;Nuevo
106;1;CAMISETA KONFLICT 0326 NEGRO M;CAMISETAS;$ 44.990 ;1;$ 44.990 ;1;6,00009E+12;KONFLICT;1;1;;;;KONFLICT;;;;Disponible;;;;Nuevo
107;1;CAMISETA MARINE 1112 ROSADO S;CAMISETAS;$ 59.990 ;1;$ 59.990 ;1;6,00009E+12;LA MARTINA;1;1;;;;LA MARTINA;;;;Disponible;;;;Nuevo
108;1;CAMISETA LCS 1113 AZUL CLARO L;CAMISETAS;$ 59.990 ;1;$ 59.990 ;1;6,00009E+12;LE COQ;1;1;;;;LE COQ;;;;Disponible;;;;Nuevo
